2024-06-25 15:26:42,236 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Configure stats pid to 3063715
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Loading settings from /net/people/plgrid/plgjoanfr97/.config/wandb/settings
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Loading settings from /net/tscratch/people/plgjoanfr97/Files/GitRepos/AstraZeneca/Code/wandb/settings
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/net/tscratch/people/plgjoanfr97/Files/GitRepos/AstraZeneca/Code/main.py', 'program': '/net/tscratch/people/plgjoanfr97/Files/GitRepos/AstraZeneca/Code/main.py'}
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:_log_setup():520] Logging user logs to /net/tscratch/people/plgjoanfr97/Files/GitRepos/AstraZeneca/Code/wandb/run-20240625_152642-pgfxon3o/logs/debug.log
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:_log_setup():521] Logging internal logs to /net/tscratch/people/plgjoanfr97/Files/GitRepos/AstraZeneca/Code/wandb/run-20240625_152642-pgfxon3o/logs/debug-internal.log
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:init():560] calling init triggers
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:init():610] starting backend
2024-06-25 15:26:42,237 INFO    MainThread:3063715 [wandb_init.py:init():614] setting up manager
2024-06-25 15:26:42,241 INFO    MainThread:3063715 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-25 15:26:42,243 INFO    MainThread:3063715 [wandb_init.py:init():622] backend started and connected
2024-06-25 15:26:42,249 INFO    MainThread:3063715 [wandb_init.py:init():711] updated telemetry
2024-06-25 15:26:42,250 INFO    MainThread:3063715 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-25 15:26:42,884 INFO    MainThread:3063715 [wandb_run.py:_on_init():2402] communicating current version
2024-06-25 15:26:42,985 INFO    MainThread:3063715 [wandb_run.py:_on_init():2411] got version response 
2024-06-25 15:26:42,985 INFO    MainThread:3063715 [wandb_init.py:init():795] starting run threads in backend
2024-06-25 15:26:45,604 INFO    MainThread:3063715 [wandb_run.py:_console_start():2380] atexit reg
2024-06-25 15:26:45,604 INFO    MainThread:3063715 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-25 15:26:45,604 INFO    MainThread:3063715 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-25 15:26:45,604 INFO    MainThread:3063715 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-25 15:26:45,607 INFO    MainThread:3063715 [wandb_init.py:init():838] run started, returning control to user process
2024-06-25 15:26:45,607 INFO    MainThread:3063715 [wandb_run.py:_config_callback():1382] config_cb None None {'epochs': 20, 'batch_size': 3, 'learning_rate': 1e-05, 'val_freq': 2, 'save_checkpoint': True, 'amp': False}
2024-06-25 15:29:30,517 WARNING MsgRouterThr:3063715 [router.py:message_loop():77] message_loop has been closed
